iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
2800,4000.0,20.28,16.2,3.95,0.113,0.015,0.0,1.657,0.0,0.33,0.07,0.08,2.34,-0.69,1.65,0.0102,2.7,89600
2850,4000.0,23.41,19.51,3.82,0.072,0.006,-0.004,1.847,-0.004,0.29,0.15,0.16,2.23,-0.61,1.62,0.0037,2.7,91200
2900,4000.0,21.15,16.45,4.63,0.062,0.01,-0.003,1.651,-0.003,0.38,0.08,0.11,2.17,-0.58,1.58,0.003,2.7,92800
2950,4000.0,19.62,15.47,4.02,0.114,0.016,0.0,1.469,0.0,0.34,-0.05,-0.06,2.14,-0.58,1.55,0.0088,2.7,94400
3000,4000.0,15.04,11.21,3.7,0.116,0.02,0.001,1.428,0.001,0.37,-0.16,-0.15,2.13,-0.58,1.55,0.0063,2.7,96000
3050,4000.0,19.15,14.77,4.28,0.098,0.011,0.009,1.572,0.009,0.63,0.07,0.02,2.15,-0.6,1.56,0.0039,2.7,97600
3100,4000.0,20.57,16.17,4.27,0.121,0.016,0.009,1.604,0.009,0.74,0.11,0.08,2.21,-0.62,1.6,0.0055,2.7,99200
3150,4000.0,23.34,19.22,4.0,0.104,0.013,-0.002,1.742,-0.002,0.91,-0.01,-0.0,2.28,-0.63,1.64,0.0119,2.7,100800
3200,4000.0,23.54,19.28,4.2,0.056,0.007,0.011,1.692,0.011,0.74,0.09,0.06,2.33,-0.64,1.69,0.0025,2.7,102400
3250,4000.0,32.91,27.84,4.95,0.098,0.017,-0.005,1.559,-0.005,0.69,-0.04,-0.02,2.36,-0.64,1.72,-0.0004,2.7,104000
3300,4000.0,28.83,23.64,5.1,0.081,0.008,0.005,1.714,0.005,0.73,0.08,0.06,2.4,-0.64,1.77,0.0113,2.7,105600
3350,4000.0,26.62,21.96,4.54,0.104,0.019,0.009,1.558,0.009,0.72,0.12,0.08,2.45,-0.64,1.81,0.0055,2.7,107200
3400,4000.0,22.62,17.67,4.83,0.111,0.013,-0.003,1.596,-0.003,0.75,0.03,0.03,2.49,-0.64,1.85,0.0146,2.7,108800
3450,4000.0,17.23,12.85,4.28,0.086,0.011,-0.003,1.564,-0.003,0.84,0.04,0.04,2.54,-0.64,1.9,0.0121,2.7,110400
3500,4000.0,33.19,27.96,5.13,0.097,0.011,-0.004,1.608,-0.004,0.81,0.23,0.24,2.6,-0.65,1.95,0.0071,2.7,112000
3550,4000.0,20.2,16.11,3.97,0.099,0.015,0.002,1.766,0.002,0.8,0.14,0.11,2.67,-0.66,2.01,0.0164,2.7,113600
3600,4000.0,19.23,14.84,4.33,0.057,0.007,-0.003,1.482,-0.003,0.86,-0.12,-0.11,2.69,-0.66,2.03,0.0144,2.7,115200
3650,4000.0,18.97,14.72,4.18,0.068,0.009,0.005,1.594,0.005,0.68,0.15,0.1,2.73,-0.67,2.06,0.0069,2.7,116800
3700,4000.0,30.01,24.27,5.59,0.133,0.017,-0.004,1.491,-0.004,0.75,0.16,0.17,2.74,-0.68,2.06,0.0088,2.7,118400
3750,4000.0,23.39,18.51,4.74,0.132,0.01,-0.005,1.536,-0.005,0.73,0.03,0.05,2.77,-0.69,2.08,0.0107,2.7,120000
3800,4000.0,21.52,15.98,5.42,0.104,0.01,-0.006,1.757,-0.006,0.72,0.1,0.13,2.78,-0.68,2.1,0.0135,2.7,121600
3850,4000.0,21.31,16.6,4.65,0.062,0.007,-0.003,1.531,-0.003,0.74,-0.03,-0.02,2.79,-0.69,2.1,0.0052,2.7,123200
3900,4000.0,23.96,19.06,4.74,0.147,0.018,-0.011,1.68,-0.011,0.86,0.09,0.11,2.78,-0.7,2.08,0.0167,2.7,124800
3950,4000.0,26.95,22.04,4.81,0.09,0.013,-0.003,1.555,-0.003,0.82,0.36,0.35,2.78,-0.71,2.07,0.0148,2.7,126400
4000,4000.0,20.84,15.84,4.84,0.145,0.015,0.008,1.79,0.009,0.72,-0.02,-0.05,2.81,-0.72,2.09,0.0207,2.7,128000
