iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
3000,8000.0,24.24,19.14,4.95,0.135,0.012,-0.0,1.719,-0.0,0.61,0.51,0.5,2.73,-0.42,2.3,0.0111,2.8,96000
3050,8000.0,30.24,23.89,6.21,0.121,0.016,0.004,1.794,0.005,0.7,0.7,0.67,2.72,-0.43,2.29,0.0172,2.7,97600
3100,8000.0,31.08,24.93,6.02,0.117,0.013,-0.005,1.719,-0.004,0.77,0.67,0.68,2.69,-0.43,2.26,0.014,2.7,99200
3150,8000.0,35.56,28.29,7.11,0.148,0.012,-0.006,1.64,-0.006,0.69,0.74,0.75,2.73,-0.46,2.27,0.0125,2.8,100800
3200,8000.0,23.25,17.95,5.17,0.112,0.014,-0.003,2.091,-0.003,0.66,0.54,0.52,2.72,-0.46,2.26,0.0148,2.8,102400
3250,8000.0,30.3,23.53,6.62,0.145,0.006,-0.002,1.725,-0.002,0.67,0.9,0.9,2.71,-0.46,2.25,0.0164,2.8,104000
3300,8000.0,27.19,21.03,5.99,0.161,0.01,0.005,1.962,0.005,0.66,0.84,0.81,2.71,-0.46,2.25,0.0084,2.8,105600
3350,8000.0,22.28,16.24,5.93,0.102,0.01,-0.002,1.719,-0.002,0.76,0.64,0.65,2.72,-0.47,2.26,0.0129,2.8,107200
3400,8000.0,26.96,20.11,6.71,0.133,0.005,-0.006,1.757,-0.006,0.65,0.53,0.54,2.75,-0.49,2.27,0.0111,2.8,108800
3450,8000.0,26.21,19.73,6.32,0.144,0.011,-0.007,1.626,-0.007,0.7,0.82,0.82,2.77,-0.5,2.27,0.0064,2.8,110400
3500,8000.0,27.07,20.53,6.35,0.168,0.019,0.002,1.63,0.002,0.72,0.96,0.95,2.78,-0.5,2.28,0.0117,2.8,112000
3550,8000.0,28.99,22.38,6.45,0.137,0.019,-0.003,1.731,-0.003,0.7,0.83,0.83,2.79,-0.51,2.28,0.0127,2.8,113600
3600,8000.0,25.83,19.77,5.94,0.112,0.006,-0.01,1.825,-0.009,0.72,0.68,0.68,2.8,-0.51,2.3,0.0162,2.8,115200
3650,8000.0,27.49,20.92,6.39,0.161,0.015,-0.002,2.065,-0.002,0.64,0.53,0.53,2.8,-0.51,2.29,0.0073,2.8,116800
3700,8000.0,29.35,22.59,6.63,0.128,0.006,-0.011,1.662,-0.01,0.79,0.66,0.7,2.79,-0.52,2.28,0.0116,2.8,118400
3750,8000.0,24.49,17.95,6.4,0.134,0.009,-0.004,1.708,-0.004,0.7,0.58,0.58,2.77,-0.5,2.26,0.0122,2.8,120000
3800,8000.0,27.09,20.33,6.64,0.111,0.008,-0.001,1.711,-0.001,0.78,0.64,0.65,2.73,-0.49,2.23,0.0107,2.8,121600
3850,8000.0,27.51,20.48,6.92,0.092,0.011,-0.009,1.831,-0.009,0.68,0.55,0.59,2.71,-0.48,2.23,0.0121,2.8,123200
3900,8000.0,27.39,21.46,5.84,0.082,0.005,-0.004,1.63,-0.004,0.67,0.57,0.58,2.71,-0.49,2.22,0.0058,2.8,124800
3950,8000.0,27.95,21.07,6.75,0.133,0.005,-0.011,1.613,-0.01,0.7,0.47,0.51,2.71,-0.5,2.21,0.0096,2.8,126400
4000,8000.0,27.02,19.92,6.97,0.118,0.008,-0.01,1.74,-0.01,0.72,0.39,0.42,2.68,-0.49,2.19,0.0047,2.8,128000
